Timestamp,"What is the ""job family"" of your role?",How would you describe your role?,Name of your company / employer,Which industry are you in?,How large is your organisation?,How models does your organisation have in production? This can be a guesstimate and doesn't have to be an accurate number.,"In 12 months from today, how many models does your organisation plan to have in production by then? This can be a guesstimate and doesn't have to be an accurate number.",Which areas or modality of machine learning / science does your team work on?,Which use-cases does your team use machine learning for?,Which of the following MLOps components do you have available/use across your organisation?,"For Model Registry and/or Experiment tracking, what tool do you use the most? Skip this question if you don't use any.","For Feature Store, what tool do you use the most? Skip this question if you don't use any.","For Vector Database, what tool do you use the most? Skip this question if you don't use any.","For ETL / Workflow Orchestrator, what tool do you use the most? Skip this question if you don't use any.","For Model Training and Experimentation Platform, what tool do you use the most? Skip this question if you don't use any.","For Central Data Platform / Data Lake, what tool do you use the most? Skip this question if you don't use any.","For Real Time Model Serving, what tool do you use the most? Skip this question if you don't use any.","When productionising a machine learning model, does your infrastructure enable any of the following deployment methods?","How long does it take your team to productionise a model (including data ingestion, etc)? ",Select which of the following your organisation has set up:,Which machine library do you use the most?,Which cloud platform do you use the most?,What approximate percentage of your models run real-time INFERENCE instead of batch?,Select the top 3 biggest challenges that you face when productionising your machine learning models,How satisfied are you with the tooling that you use for machine learning specifically?,"How important is machine learning in your organisation, defined by the actual investment and support?",How mature is security in the context of machine learning in your team?,How do you self identify?,What is your age?,What is your country of residence?,Is your organization in compliance for upcoming AI regulations?,"For Model Monitoring, what tool do you use the most? Skip this question if you don't use any.","For Managed Foundation Model / LLM Api Services, what tool do you use the most? Skip this question if you don't use any.",Score,Email address
14/09/2024 11:55:24,Software Engineer,Director/VP,Zalando SE,Retail,"5,000-50,000 employees",100-1000,1000+,"Causal Inference, Time Series / Forecasting","Fraud, Risk",,Spreadsheets,Hopsworks,,Airflow,Databricks,Deltalake,FastAPI/Flask Wrapper,CI/CD for continuous deployment,Less than 6 months,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",Sklearn,Google Cloud Platform,Between 10% and 30%,"Machine learning monitoring and observability, Machine learning security, Governance and domain risks",,,,Male,30-34,Germany,,,OpenAI,0 / 28,
15/09/2024 17:17:24,Data Scientist,Manager,,Technology,50-250 employees,10-20,21-100,"Text / NLP (Non-LLM), Regression","Demand Forecasting, Search, Recommender systems, Pricing",,Weights & Biases,,,Airflow,Custom Built In-house tool,AWS / Lakeformation,FastAPI/Flask Wrapper,"Canary Deployments, Progressive Rollouts, CI/CD for continuous deployment, Development, Staging and Production Environments",Less than 3 months,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",LightGBM,Amazon Web Services,More than 90%,"Inconsistency of training and experimentation environments, Building production-grade machine learning and data pipelines",,,,Male,35-39,,,,,,
15/09/2024 17:18:33,MLOps Engineer,Individual Contributor (Staff+),,Transportation & warehousing,"1,000-5,000 employees",1000+,1000+,Image / Computer Vision,Autonomous driving,,Comet,Custom Built In-house tool,,"in-house Argo workflows, hybrid multi-cluster, multi-cloud","in-house Argo workflows, hybrid multi-cluster, multi-cloud",Custom Built In-house tool,,"Development, Staging and Production Environments",Less than 3 months,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",PyTorch/Lightning/Fast.ai,"Hybrid, aws and on-prem",More than 90%,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation, Access to relevant data for training",,,,Male,45-49,,,Comet,,,
15/09/2024 18:10:11,MLOps Engineer,Individual Contributor (Junior to Senior),,Fashion,50-250 employees,2-5,5-9,"Image / Computer Vision, LLMs",Search,,Spreadsheets,,Weaviate,Custom Built In-house tool,,,LMDeploy,,Less than 3 months,,PyTorch/Lightning/Fast.ai,Amazon Web Services,Between 50% and 90%,"Access to relevant data for training, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",,,,Male,25-29,Bangladesh,,,OpenAI,,
15/09/2024 18:50:17,MLOps Engineer,Individual Contributor (Junior to Senior),,Anti-fraud/cybersecurity,"250-1,000 employees",5-9,10-20,"LLMs, Tabular, Anomaly Detection",Fraud,,MLFlow,,,AWS Step Functions,Amazon SageMaker,AWS / Lakeformation,FastAPI/Flask Wrapper,"Canary Deployments, Progressive Rollouts, CI/CD for continuous deployment, Development, Staging and Production Environments",Less than 3 months,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Sklearn,Amazon Web Services,More than 90%,"Inconsistency of training and experimentation environments, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",,,,Male,35-39,Canada,,,Mistral,,
15/09/2024 18:54:32,,,,Technology,Less than 10 employees,,,LLMs,Marketing Intelligence,,Custom Built In-house tool,Hopsworks,Pinecone,,,,,,Less than a week,,PyTorch/Lightning/Fast.ai,Google Cloud Platform,,"Machine learning security, Governance and domain risks",,,,,,,,,,,
15/09/2024 19:33:27,Data Scientist,Individual Contributor (Staff+),Pacvue,Retail,"250-1,000 employees",10-20,21-100,"LLMs, Recommender Systems, Tabular, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Recommender systems, Risk, Pricing",,MLFlow,Custom Built In-house tool,Pinecone,Airflow,Custom Built In-house tool,Snowflake,FastAPI/Flask Wrapper,"Progressive Rollouts, CI/CD for continuous deployment",Less than 3 months,Data Platform / Data Engineering Organisation,Catboost,Amazon Web Services,Between 10% and 30%,Access to relevant data for training,,,,Male,40-44,Romania,,Custom Built In-house tool,OpenAI,,
15/09/2024 20:48:52,Machine Learning Engineer,C-Suite,Occuspace,Technology,10-50 employees,5-9,10-20,Time Series / Forecasting,,,Spreadsheets,,ActiveLoop,Airflow,Custom Built In-house tool,AWS / Lakeformation,Custom Built In-house tool,"Canary Deployments, A/B Tests for Models, Progressive Rollouts",Less than 3 months,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Sklearn,Amazon Web Services,More than 90%,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation",,,,Male,25-29,US,,Arize AI,OpenAI,,
15/09/2024 22:20:57,Data Scientist,Individual Contributor (Junior to Senior),Francis037,Data Consulting,Less than 10 employees,10-20,21-100,"Image / Computer Vision, Recommender Systems, Text / NLP (Non-LLM)","Marketing Intelligence, Search, Recommender systems",,MLFlow,Do not use any,Do not use any,Airflow,Custom Built In-house tool,Snowflake,FastAPI/Flask Wrapper,"A/B Tests for Models, CI/CD for continuous deployment",Less than a week,A Developer Productivity Team which also covers machine learning,TensorFlow,No cloud platform used,Less than 10%,"Showcasing business impact and business value, Machine learning security, Governance and domain risks",,,,Male,30-34,USA,,Custom Built In-house tool,OpenAI,,
16/09/2024 03:36:19,MLOps Engineer,Manager,,Media & Entertainment,50-250 employees,100-1000,21-100,"Recommender Systems, Search, Text / NLP (Non-LLM)",Recommender systems,,,,Faiss,,Google Cloud Vertex AI,GCP / BigLake,FastAPI/Flask Wrapper,"A/B Tests for Models, CI/CD for continuous deployment, Development, Staging and Production Environments",More than a year,Central Machine Learning Platform / Team,PyTorch/Lightning/Fast.ai,Google Cloud Platform,Between 10% and 30%,"Gaps in tooling and support for model productionisation, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",,,,Male,30-34,Japan,,,OpenAI,,
